Country names,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Afghanistan,25,177,70,74,66,120,53,40,34656.032,1142.962,80,63.673,31.74112,
Albania,114,40,14,15,12,35,12,6,2926.348,34.75,0,78.345,97.24697,95.51731
Algeria,78,49,25,27,24,41,22,16,40606.052,949.277,24,76.078,75.13605,97.06215
Andorra,179,9,3,3,3,7,2,1,77.281,,0,,100,
Angola,17,221,83,88,76,131,55,29,28813.463,1180.97,96,61.547,66.03011,84.01231
Anguilla,,,,,,,,,14.764,,,,,
Antigua and Barbuda,133,26,9,9,8,25,5,4,100.963,1.636,0,76.364,98.95,87.04613
Argentina,126,29,11,12,10,26,10,6,43847.43,753.646,8,76.577,98.09,99.34679
Armenia,118,50,13,15,12,42,12,7,2924.816,40.158,1,74.618,99.74441,96.07425
Australia,164,9,4,4,3,8,3,2,24125.848,310.703,1,82.896,,97.03283
Austria,164,10,4,4,3,8,3,2,8712.137,83.099,0,81.594,,
Azerbaijan,68,95,31,34,28,75,27,18,9725.376,176.026,5,72.026,99.79006,94.14265
Bahamas,126,24,11,11,10,20,9,6,391.232,5.57,0,75.675,,97.52022
Bahrain,142,23,8,8,7,20,7,3,1425.171,21.489,0,76.9,94.55679,96.4285
Bangladesh,62,144,34,37,32,100,28,20,162951.56,3109.722,106,72.489,72.75872,90.50861
Barbados,123,18,12,13,11,16,11,8,284.996,3.408,0,75.906,,91.02247
Belarus,164,15,4,4,3,12,3,2,9480.042,114.344,0,72.926,99.61706,95.3602
Belgium,164,10,4,4,4,8,3,2,11358.379,128.957,1,81.134,,98.94778
Belize,106,39,15,16,13,32,13,10,366.954,8.181,0,70.384,,96.14116
Benin,7,178,98,102,93,107,63,31,10872.298,396.613,38,60.907,32.94882,95.86662
Bhutan,66,128,32,36,29,90,27,18,797.765,14.528,0,70.197,57.0336,85.5824
Bolivia (Plurinational State of),58,124,37,40,33,85,30,19,10887.882,252.768,9,69.125,92.45508,88.48272
Bosnia and Herzegovina,153,18,6,7,5,16,5,5,3516.816,32.523,0,76.911,96.99177,
Botswana,56,54,41,44,37,42,33,26,2250.26,53.332,2,66.797,81.18871,91.02086
Brazil,106,64,15,16,14,53,14,8,207652.865,2965.624,45,75.509,91.72943,92.69713
British Virgin Islands,,,,,,,,,30.661,,,,,
Brunei Darussalam,131,13,10,11,9,10,9,4,423.196,6.73,0,77.203,96.08556,
Bulgaria,142,18,8,8,7,15,7,4,7131.494,66.913,1,74.749,98.35245,93.30484
Burkina Faso,16,199,85,89,80,99,53,26,18646.433,715.598,60,60.361,34.5994,69.09631
Burundi,23,170,72,77,66,103,48,24,10524.117,437.227,31,57.481,61.56973,94.14828
Cabo Verde,85,63,21,23,19,48,18,10,539.56,11.289,0,72.798,86.79029,97.12462
Cambodia,68,116,31,34,27,85,26,16,15762.37,367.57,11,68.981,73.90003,94.92511
Cameroon,19,143,80,85,74,89,53,24,23439.189,842.102,66,58.073,71.29051,91.98906
Canada,157,8,5,5,5,7,4,3,36289.822,386.733,2,82.374,,99.45674
Central African Republic,3,174,124,130,117,114,89,42,4594.621,165.958,20,52.171,36.75261,70.55846
Chad,2,211,127,133,121,111,75,35,14452.543,615.173,77,52.903,22.31155,79.08415
Chile,142,19,8,9,8,16,7,5,17909.754,238.687,2,79.522,96.26706,94.32461
China,131,54,10,11,9,42,9,5,1403500.365,17035.167,168,76.252,95.12448,
Colombia,106,35,15,17,14,29,13,9,48653.419,746.404,11,74.381,94.24505,90.60457
Comoros,22,126,73,78,68,88,55,33,795.601,25.925,2,63.701,49.19614,79.46213
Congo,40,91,54,58,49,59,39,21,5125.821,176.429,9,64.625,79.31117,91.38398
Cook Islands,142,24,8,9,7,21,7,4,17.379,,0,,,94.74704
Costa Rica,133,17,9,10,8,14,8,6,4857.274,69.838,1,79.831,97.40658,96.4191
Côte d'Ivoire,10,151,92,101,82,104,66,37,23695.919,858.303,78,53.582,43.90842,79.25447
Croatia,157,13,5,5,4,11,4,3,4213.265,39.461,0,77.642,99.12536,88.82807
Cuba,153,13,6,6,5,11,4,2,11475.982,125.471,1,79.742,99.75253,92.15363
Cyprus,179,11,3,3,2,10,2,1,1170.125,12.769,0,80.508,98.67843,97.36852
Czechia,179,12,3,4,3,10,3,2,10610.947,109.231,0,78.731,,
